ra,dec,observed,jd_start,jd_end,alt_start,az_start,alt_end,az_end
0,-20,0,,,,,,
0,-18,1,,,,,,
0,-16,0,,,,,,
0,-14,1,,,,,,
0,-12,0,,,,,,
0,-10,1,,,,,,
0,-8,0,,,,,,
0,-6,1,,,,,,
0,-4,0,,,,,,
0,-2,1,,,,,,
0,0,0,,,,,,
0,2,1,,,,,,
0,4,0,,,,,,
0,6,1,,,,,,
0,8,0,,,,,,
0,10,1,,,,,,
0,12,0,,,,,,
0,14,1,,,,,,
0,16,0,,,,,,
0,18,1,,,,,,
0,20,0,,,,,,
0,22,1,,,,,,
0,24,0,,,,,,
0,26,1,,,,,,
0,28,0,,,,,,
0,30,1,,,,,,
2,-20,0,,,,,,
2,-18,0,,,,,,
2,-16,0,,,,,,
2,-14,0,,,,,,
2,-12,0,,,,,,
2,-10,0,,,,,,
2,-8,0,,,,,,
2,-6,0,,,,,,
2,-4,0,,,,,,
2,-2,0,,,,,,
2,0,0,,,,,,
2,2,0,,,,,,
2,4,0,,,,,,
2,6,0,,,,,,
2,8,0,,,,,,
2,10,0,,,,,,
2,12,0,,,,,,
2,14,0,,,,,,
2,16,0,,,,,,
2,18,0,,,,,,
2,20,0,,,,,,
2,22,0,,,,,,
4,-22,1,,,,,,
4,-20,0,,,,,,
4,-18,1,,,,,,
4,-16,0,,,,,,
4,-14,1,,,,,,
4,-12,0,,,,,,
4,-10,1,,,,,,
4,-8,0,,,,,,
4,-6,1,,,,,,
4,-4,0,,,,,,
4,-2,1,,,,,,
4,0,0,,,,,,
4,2,1,,,,,,
4,4,0,,,,,,
4,6,1,,,,,,
4,8,0,,,,,,
4,10,1,,,,,,
4,12,0,,,,,,
6,-22,0,,,,,,
6,-20,0,,,,,,
6,-18,0,,,,,,
6,-16,0,,,,,,
6,-14,0,,,,,,
6,-12,0,,,,,,
6,-10,0,,,,,,
6,-8,0,,,,,,
6,-6,0,,,,,,
6,-4,0,,,,,,
6,-2,0,,,,,,
6,0,0,,,,,,
6,2,0,,,,,,
6,4,0,,,,,,
8,-24,0,,,,,,
8,-22,1,,,,,,
8,-20,0,,,,,,
8,-18,1,,,,,,
8,-16,0,,,,,,
8,-14,1,,,,,,
8,-12,0,,,,,,
8,-10,1,,,,,,
8,-8,0,,,,,,
8,-6,1,,,,,,
10,-24,0,,,,,,
10,-22,0,,,,,,
10,-20,0,,,,,,
10,-18,0,,,,,,
10,-16,0,,,,,,
12,-26,1,,,,,,
12,-24,0,,,,,,
324,6,1,,,,,,
324,8,0,,,,,,
326,4,0,,,,,,
326,6,0,,,,,,
326,8,0,,,,,,
326,10,0,,,,,,
326,12,0,,,,,,
328,4,0,,,,,,
328,6,1,,,,,,
328,8,0,,,,,,
328,10,1,,,,,,
328,12,0,,,,,,
328,14,1,,,,,,
330,2,0,,,,,,
330,4,0,,,,,,
330,6,0,,,,,,
330,8,0,,,,,,
330,10,0,,,,,,
330,12,0,,,,,,
330,14,0,,,,,,
330,16,0,,,,,,
332,0,0,,,,,,
332,2,1,,,,,,
332,4,0,,,,,,
332,6,1,,,,,,
332,8,0,,,,,,
332,10,1,,,,,,
332,12,0,,,,,,
332,14,1,,,,,,
332,16,0,,,,,,
334,-2,0,,,,,,
334,0,0,,,,,,
334,2,0,,,,,,
334,4,0,,,,,,
334,6,0,,,,,,
334,8,0,,,,,,
334,10,0,,,,,,
334,12,0,,,,,,
334,14,0,,,,,,
334,16,0,,,,,,
334,18,0,,,,,,
336,-2,1,,,,,,
336,0,0,,,,,,
336,2,1,,,,,,
336,4,0,,,,,,
336,6,1,,,,,,
336,8,0,,,,,,
336,10,1,,,,,,
336,12,0,,,,,,
336,14,1,,,,,,
336,16,0,,,,,,
336,18,1,,,,,,
336,20,0,,,,,,
338,-4,0,,,,,,
338,-2,0,,,,,,
338,0,0,,,,,,
338,2,0,,,,,,
338,4,0,,,,,,
338,6,0,,,,,,
338,8,0,,,,,,
338,10,0,,,,,,
338,12,0,,,,,,
338,14,0,,,,,,
338,16,0,,,,,,
338,18,0,,,,,,
338,20,0,,,,,,
338,22,0,,,,,,
340,-6,1,,,,,,
340,-4,0,,,,,,
340,-2,1,,,,,,
340,0,0,,,,,,
340,2,1,,,,,,
340,4,0,,,,,,
340,6,1,,,,,,
340,8,0,,,,,,
340,10,1,,,,,,
340,12,0,,,,,,
340,14,1,,,,,,
340,16,0,,,,,,
340,18,1,,,,,,
340,20,0,,,,,,
340,22,1,,,,,,
342,-8,0,,,,,,
342,-6,0,,,,,,
342,-4,0,,,,,,
342,-2,0,,,,,,
342,0,0,,,,,,
342,2,0,,,,,,
342,4,0,,,,,,
342,6,0,,,,,,
342,8,0,,,,,,
342,10,0,,,,,,
342,12,0,,,,,,
342,14,0,,,,,,
342,16,0,,,,,,
342,18,0,,,,,,
342,20,0,,,,,,
342,22,0,,,,,,
342,24,0,,,,,,
344,-8,0,,,,,,
344,-6,1,,,,,,
344,-4,0,,,,,,
344,-2,1,,,,,,
344,0,0,,,,,,
344,2,1,,,,,,
344,4,0,,,,,,
344,6,1,,,,,,
344,8,0,,,,,,
344,10,1,,,,,,
344,12,0,,,,,,
344,14,1,,,,,,
344,16,0,,,,,,
344,18,1,,,,,,
344,20,0,,,,,,
344,22,1,,,,,,
344,24,0,,,,,,
344,26,1,,,,,,
346,-10,0,,,,,,
346,-8,0,,,,,,
346,-6,0,,,,,,
346,-4,0,,,,,,
346,-2,0,,,,,,
346,0,0,,,,,,
346,2,0,,,,,,
346,4,0,,,,,,
346,6,0,,,,,,
346,8,0,,,,,,
346,10,0,,,,,,
346,12,0,,,,,,
346,14,0,,,,,,
346,16,0,,,,,,
346,18,0,,,,,,
346,20,0,,,,,,
346,22,0,,,,,,
346,24,0,,,,,,
346,26,0,,,,,,
348,-12,0,,,,,,
348,-10,1,,,,,,
348,-8,0,,,,,,
348,-6,1,,,,,,
348,-4,0,,,,,,
348,-2,1,,,,,,
348,0,0,,,,,,
348,2,1,,,,,,
348,4,0,,,,,,
348,6,1,,,,,,
348,8,0,,,,,,
348,10,1,,,,,,
348,12,0,,,,,,
348,14,1,,,,,,
348,16,0,,,,,,
348,18,1,,,,,,
348,20,0,,,,,,
348,22,1,,,,,,
348,24,0,,,,,,
348,26,1,,,,,,
350,-12,0,,,,,,
350,-10,0,,,,,,
350,-8,0,,,,,,
350,-6,0,,,,,,
350,-4,0,,,,,,
350,-2,0,,,,,,
350,0,0,,,,,,
350,2,0,,,,,,
350,4,0,,,,,,
350,6,0,,,,,,
350,8,0,,,,,,
350,10,0,,,,,,
350,12,0,,,,,,
350,14,0,,,,,,
350,16,0,,,,,,
350,18,0,,,,,,
350,20,0,,,,,,
350,22,0,,,,,,
350,24,0,,,,,,
350,26,0,,,,,,
350,28,0,,,,,,
352,-14,1,,,,,,
352,-12,0,,,,,,
352,-10,1,,,,,,
352,-8,0,,,,,,
352,-6,1,,,,,,
352,-4,0,,,,,,
352,-2,1,,,,,,
352,0,0,,,,,,
352,2,1,,,,,,
352,4,0,,,,,,
352,6,1,,,,,,
352,8,0,,,,,,
352,10,1,,,,,,
352,12,0,,,,,,
352,14,1,,,,,,
352,16,0,,,,,,
352,18,1,,,,,,
352,20,0,,,,,,
352,22,1,,,,,,
352,24,0,,,,,,
352,26,1,,,,,,
352,28,0,,,,,,
354,-16,0,,,,,,
354,-14,0,,,,,,
354,-12,0,,,,,,
354,-10,0,,,,,,
354,-8,0,,,,,,
354,-6,0,,,,,,
354,-4,0,,,,,,
354,-2,0,,,,,,
354,0,0,,,,,,
354,2,0,,,,,,
354,4,0,,,,,,
354,6,0,,,,,,
354,8,0,,,,,,
354,10,0,,,,,,
354,12,0,,,,,,
354,14,0,,,,,,
354,16,0,,,,,,
354,18,0,,,,,,
354,20,0,,,,,,
354,22,0,,,,,,
354,24,0,,,,,,
354,26,0,,,,,,
354,28,0,,,,,,
354,30,0,,,,,,
356,-16,0,,,,,,
356,-14,1,,,,,,
356,-12,0,,,,,,
356,-10,1,,,,,,
356,-8,0,,,,,,
356,-6,1,,,,,,
356,-4,0,,,,,,
356,-2,1,,,,,,
356,0,0,,,,,,
356,2,1,,,,,,
356,4,0,,,,,,
356,6,1,,,,,,
356,8,0,,,,,,
356,10,1,,,,,,
356,12,0,,,,,,
356,14,1,,,,,,
356,16,0,,,,,,
356,18,1,,,,,,
356,20,0,,,,,,
356,22,1,,,,,,
356,24,0,,,,,,
356,26,1,,,,,,
356,28,0,,,,,,
356,30,1,,,,,,
358,-18,0,,,,,,
358,-16,0,,,,,,
358,-14,0,,,,,,
358,-12,0,,,,,,
358,-10,0,,,,,,
358,-8,0,,,,,,
358,-6,0,,,,,,
358,-4,0,,,,,,
358,-2,0,,,,,,
358,0,0,,,,,,
358,2,0,,,,,,
358,4,0,,,,,,
358,6,0,,,,,,
358,8,0,,,,,,
358,10,0,,,,,,
358,12,0,,,,,,
358,14,0,,,,,,
358,16,0,,,,,,
358,18,0,,,,,,
358,20,0,,,,,,
358,22,0,,,,,,
358,24,0,,,,,,
358,26,0,,,,,,
358,28,0,,,,,,
358,30,0,,,,,,
